lemma;tags;ordklasse;transfertype;noter
kartove;MIL;S;L;NA
karusse;FAU;S;L;NA
karve;GAS;S;L;NA
kavent;GAS;S;L;NA
kegle;"HÅN;RUM";S;L;NA
kejser;SAM;S;L;NA
kel;HÅN;S;L;NA
kerte;HUS;S;L;NA
kikkert;HUS;S;L;NA
kile;HÅN;S;L;NA
kim;FLO;S;L;NA
kimme;HÅN;S;L;NA
kimmer;HÅN;S;L;NA
kin;FLO;S;L;NA
kindbakke;"FAU;KRO;SØF";S;L;NA
kip;HUS;S;L;NA
kipe;HÅN;S;L;NA
kippe;HUS;S;L;NA
kipper;BEK;S;L;NA
kirsebær;FLO;S;L;NA
kirsej;BEK;S;L;NA
kiv;HAN;S;L;NA
klage;"SPR;JUR";S;L;NA
klamme;"HÅN;SPR";S;L;NA
klank;HAN;S;L;NA
klap;HÅN;S;L;NA
klapholt;HÅN;S;L;NA
klat;FLO;S;L;NA
klejne;GAS;S;L;NA
klejnsmed;HÅN;S;L;NA
klenodie;HUS;S;L;NA
kleppert;"FAU;SAM";S;L;NA
klerk;REL;S;L;NA
klid;FLO;S;L;USIKKER
klik;"RUM;SPR";S;L;NA
klinke;"HUS;HÅN;MIL";S;L;NA
klint;VER;S;L;NA
klippe;VER;S;L;NA
klister;HÅN;S;L;NA
klod;"RUM;SØF";S;L;NA
klode;VER;S;L;NA
klods;BEK;S;L;NA
klokkeknevl;HÅN;S;L;NA
klokkespise;HÅN;S;L;NA
kloster;REL;S;L;NA
klov;FAU;S;L;USIKKER
klovert;SAM;S;L;NA
klump;"SAM;RUM";S;L;NA
klus;REL;S;L;NA
klyver;SØF;S;L;NA
klæbber;HÅN;S;L;NA
kløft;"VER;HÅN";S;L;NA
kløver;FLO;S;L;NA
knabe;SAM;S;L;NA
kneb;HAN;S;L;NA
knebel;HÅN;S;L;NA
knevel;"HÅN;SØF";S;L;NA
knibe;"HÅN;FØL";S;L;NA
knipling;HÅN;S;L;NA
knippel;MIL;S;L;NA
knob;"SØF;HÅN";S;L;NA
knogle;KRO;S;L;NA
knægt;SAM;S;L;NA
knæk;HAN;S;L;NA
kobbel;SAM;S;L;NA
kode;FAU;S;L;NA
kogge;SØF;S;L;NA
kogger;"MIL;SØF";S;L;NA
kogler;SAM;S;L;NA
kok;GAS;S;L;NA
kolbe;"MIL;HÅN";S;L;NA
koldskål;GAS;S;L;NA
kommen;GAS;S;L;NA
komst;HAN;S;L;NA
kop;"HUS;KRO";S;L;NA
korde;BEK;S;L;NA
korn;BES;S;L;NA
kortvil;HAN;S;L;NA
kost;JUR;S;L;NA
kost;GAS;S;L;NA
kovs;HUS;S;L;NA
kovsken;HUS;S;L;NA
kragejolle;SØF;S;L;NA
krakel;HAN;S;L;NA
kram;SAM;S;L;NA
krammeri;SAM;S;L;NA
krampe;KRO;S;L;NA
krampe;HÅN;S;L;NA
kran;HÅN;S;L;NA
krans;"FLO;HÅN";S;L;NA
krave;"BEK;FAU";S;L;NA
kravel;SØF;S;L;NA
krejert;SØF;S;L;NA
kridt;VER;S;L;NA
krig;MIL;S;L;NA
kro;SAM;S;L;NA
kroer;SAM;S;L;NA
kroerske;SAM;S;L;NA
krone;BEK;S;L;NA
krop;FAU;S;L;NA
krud;FLO;S;L;NA
krudt;MIL;S;L;NA
krukke;HUS;S;L;NA
krumkage;GAS;S;L;NA
krumme;GAS;S;L;NA
krus;HUS;S;L;NA
krusbær;FLO;S;L;NA
kruse;BEK;S;L;NA
krusemynte;FLO;S;L;NA
krybbe;FAU;S;L;NA
krydde;GAS;S;L;NA
krydder;GAS;S;L;NA
krydderi;GAS;S;L;NA
kryds;RUM;S;L;NA
kræft;KRO;S;L;NA
kræft;MIL;S;L;NA
kræge;FLO;S;L;NA
kræmmer;SAM;S;L;NA
kræmmeri;HAN;S;L;NA
krøgle;RUM;S;L;NA
krønike;SAM;S;L;NA
kråse;FAU;S;L;NA
kube;HÅN;S;L;NA
kule;FAU;S;L;NA
kuller;"FAU;KRO";S;L;NA
kumme;HUS;S;L;NA
kummer;FØL;S;L;NA
kumpan;SAM;S;L;NA
kundskab;"KOG;JUR";S;L;NA
kunst;MUS;S;L;NA
kunster;MUS;S;L;NA
kur;HAN;S;L;NA
kure;SAM;S;L;NA
kurv;"HUS;HÅN";S;L;NA
kvabbe;"FAU;SØF";S;L;USIKKER
kvalm;"VER;FØL";S;L;NA
kvalster;KRO;S;L;NA
kvansvis;HAN;S;L;NA
kvant;SAM;S;L;NA
kvarter;"RUM;KVA;TID";S;L;NA
kvater;KVA;S;L;NA
kvikstjært;FAU;S;L;NA
