lemma;tags;ordklasse;transfertype;noter
værgebo;KRO;S;K;USIKKER
værk;FAU;S;K;NA
værkfad;HÅN;S;K;USIKKER
værksted;HÅN;S;K;NA
våbenhus;"MIL;REL";S;K;USIKKER
våg;"VER;SØF";S;K;USIKKER
yngermand;JUR;S;K;NA
ægstål;HÅN;S;K;USIKKER
øjentjener;SAM;S;K;USIKKER
øjentrøst;FLO;S;K;NA
øjeæble;KRO;S;K;NA
ønske;"FØL;HAN;KOG";S;K;NA
