lemma;tags;ordklasse;transfertype;falsepositive;noter
gynter;KRO;S;L;1;
gæk;HÅN;S;L;;
gæk;SAM;S;L;;
gækkeri;HAN;S;L;;
gær;FLO;S;K;;
gæstehus;SAM;S;K;1;
gøgelspil;HAN;S;L;;
gøgl;HAN;S;L;;
gøgler;SAM;S;L;;
gåseørn;FAU;S;L;1;
hage;MIL;S;L;;
hagebøsse;MIL;S;L;;
hakke;HÅN;S;L;1;USIKKER
hakkebræt;"HUS;MUS";S;L;;
hakkelse;FLO;S;L;;
halle;SAM;S;L;;
hamme;HÅN;S;L;1;
hamp;FLO;S;L;1;
handel;HAN;S;L;;
handling;HAN;S;L;1;USIKKER
handske;BEK;S;L;;
hank;HÅN;S;L;;
hanrej;SLÆ;S;L;;
hans;SAM;S;L;;
hansa;SAM;S;L;;
harnisk;MIL;S;L;;
harpiks;FLO;S;L;;
harrild;FLO;S;L;;USIKKER
hartkorn;FLO;S;L;1;
harts;FLO;S;L;1;
has;FLO;S;L;;
hase;KRO;S;L;;USIKKER
hast;BEV;S;L;;
hattestafferer;HÅN;S;L;;
havelværk;MIL;S;L;;
hedevig;GAS;S;K;;
heggel;FLO;S;L;;
hegle;FLO;S;L;;
helled;SAM;S;L;;
hellegat;SØF;S;L;1;
hellighed;REL;S;L;1;
helsfyr;REL;S;L;;
helt;SAM;S;L;;
hemmelighed;KOG;S;L;1;
henfart;"BEV;REL";S;L;1;USIKKER
herberg;SAM;S;L;;
herd;"HUS;HÅN";S;L;;
herkomst;SLÆ;S;L;1;USIKKER
herlighed;FØL;S;L;1;USIKKER
hermelin;BEK;S;L;;
herold;SAM;S;L;;
herre;SAM;S;L;1;
herskab;SAM;S;L;;
hertug;SAM;S;L;;
hidsehund;MIL;S;L;1;USIKKER
himmelstreg;VER;S;L;1;
hinderhold;MIL;S;L;1;
hingst;FAU;S;L;;
hippokras;GAS;S;L;;
hirse;FLO;S;L;;
hjerteslag;FAU;S;L;;
hjælmetegn;SAM;S;K;;
hjælper;SAM;S;L;1;
hob;KVA;S;L;;
hof;SAM;S;L;;
hoffart;HAN;S;L;;
hoffourer;SAM;S;L;;
hoffærd;HAN;S;K;;
hoffærdighed;HAN;S;L;;
hofte;KRO;S;L;;
hold;HAN;S;L;1;
holk;SØF;S;L;1;
homej;MIL;S;L;;
hore;SAM;S;L;1;USIKKER
horesøn;SLÆ;S;L;;
hospital;SAM;S;L;1;USIKKER
hov;SAM;S;L;;
hovedskib;SØF;S;L;;
hovedstol;BES;S;K;;DDO_N
hovmand;SAM;S;L;;
hovmester;"SAM;SØF";S;L;;
hovmod;FØL;S;L;;
huj;BEV;S;L;;USIKKER
huk;"RUM;SØF";S;L;;
huld;FØL;S;K;;
hulsten;HÅN;S;L;1;USIKKER
hulurt;FLO;S;L;1;
humpel;"GAS;SØF";S;L;1;USIKKER
hundestejle;FAU;S;L;1;
hungertitte;FAU;S;L;1;
husbjælke;HUS;S;K;;
